index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure."," 

The procedure is as follows:

1. For each training pair, extract the question and answer starting sentence. 
2. For each training pair, extract the question and answer ending sentence. 
3. For each training pair, extract the question and answer ending sentence. 
4. For each training pair, extract the question and answer ending sentence. 
5. For each training pair, extract the question and answer ending sentence. 
6. For each training pair, extract the question and answer ending sentence. 
7. For each training pair, extract the question and answer ending sentence. 
8. For each training pair, extract the question and answer ending sentence. 
9. For each training pair, extract the question and answer ending sentence. 
10. For each training pair, extract the question and answer ending sentence. 
11. For each training pair, extract the question and answer ending sentence. 
12. For each training pair, extract the question and answer ending sentence. 
13. For each training pair, extract the question and answer ending sentence. 
14. For each training pair, extract the question and answer ending sentence. 
15. For each training pair, extract the question and answer ending sentence. 
16. For each training pair, extract the question and answer ending sentence. 
17. For each training pair, extract the question and answer ending sentence. 
18. For each training pair, extract the question and answer ending sentence. 
19. For each training pair, extract the question and answer ending sentence. 
20. For each training pair, extract the question and answer ending sentence. 
21. For each training pair, extract the question and answer ending sentence. 
22. For each training pair, extract the question and answer ending sentence. 
23. For each training pair, extract the question and answer ending sentence. 
24. For each training pair, extract the question and answer ending sentence. 
25. For each training pair, extract the question and answer ending sentence. 
26. For each training pair, extract the question and answer ending sentence. 
27. For each training pair, extract the question and answer ending sentence. 
28. For each training pair, extract the question and answer ending sentence. 
29. For each training pair, extract the question and answer ending sentence. 
30. For each training pair, extract the question and answer ending sentence. 
31. For each training pair, extract the question and answer ending sentence. 
32. For each training pair, extract the question and answer ending sentence. 
33. For each training pair, extract the question and answer ending sentence. 
34. For each training pair, extract the question and answer ending sentence. 
35. For each training pair, extract the question and answer ending sentence. 
36. For each training pair, extract the question and answer ending sentence. 
37. For each training pair, extract the question and answer ending sentence. 
38. For each training pair, extract the question and answer ending sentence. 
39. For each training pair, extract the question and answer ending sentence. 
40. For each training pair, extract the question and answer ending sentence. 
41. For each training pair, extract the question and answer ending sentence. 
42. For each training pair, extract the question and answer ending sentence. 
43. For each training pair, extract the question and answer ending sentence. 
44. For each training pair, extract the question and answer ending sentence. 
45. For each training pair, extract the question and answer ending sentence. 
46. For each training pair, extract the question and answer ending sentence. 
47. For each training pair, extract the question and answer ending sentence. 
48. For each training pair, extract the question and answer ending sentence. 
49. For each training pair, extract the question and answer ending sentence. 
50. For each training pair, extract the question and answer ending sentence. 
51. For each training pair, extract the question and answer ending sentence. 
52. For each training pair, extract the question and answer ending sentence. 
53. For each training pair, extract the question and answer ending sentence. 
54. For each training pair, extract the question and answer ending sentence. 
55. For each training pair, extract the question and answer ending sentence. 
56. For each training pair, extract the question and answer ending sentence. 
57. For each training pair, extract the question and answer ending sentence. 
58. For each training pair, extract the question and answer ending sentence. 
59. For each training pair, extract the question and answer ending sentence. 
60. For each training pair, extract the question and answer ending sentence. 
61. For each training pair, extract the question and answer ending sentence. 
62. For each training pair, extract the question and answer ending sentence. 
63. For each training pair, extract the question and answer ending sentence. 
64. For each training pair, extract the",,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure.",,,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure."," 

The procedure is as follows:

1. For each training pair, find the most similar question to the new question. 
2. Find the most similar answer to the new question.
3. Find the most similar answer to the new question.
4. Find the most similar answer to the new question.
5. Find the most similar answer to the new question.
6. Find the most similar answer to the new question.
7. Find the most similar answer to the new question.
8. Find the most similar answer to the new question.
9. Find the most similar answer to the new question.
10. Find the most similar answer to the new question.
11. Find the most similar answer to the new question.
12. Find the most similar answer to the new question.
13. Find the most similar answer to the new question.
14. Find the most similar answer to the new question.
15. Find the most similar answer to the new question.
16. Find the most similar answer to the new question.
17. Find the most similar answer to the new question.
18. Find the most similar answer to the new question.
19. Find the most similar answer to the new question.
20. Find the most similar answer to the new question.
21. Find the most similar answer to the new question.
22. Find the most similar answer to the new question.
23. Find the most similar answer to the new question.
24. Find the most similar answer to the new question.
25. Find the most similar answer to the new question.
26. Find the most similar answer to the new question.
27. Find the most similar answer to the new question.
28. Find the most similar answer to the new question.
29. Find the most similar answer to the new question.
30. Find the most similar answer to the new question.
31. Find the most similar answer to the new question.
32. Find the most similar answer to the new question.
33. Find the most similar answer to the new question.
34. Find the most similar answer to the new question.
35. Find the most similar answer to the new question.
36. Find the most similar answer to the new question.
37. Find the most similar answer to the new question.
38. Find the most similar answer to the new question.
39. Find the most similar answer to the new question.
40. Find the most similar answer to the new question.
41. Find the most similar answer to the new question.
42. Find the most similar answer to the new question.
43. Find the most similar answer to the new question.
44. Find the most similar answer to the new question.
45. Find the most similar answer to the new question.
46. Find the most similar answer to the new question.
47. Find the most similar answer to the new question.
48. Find the most similar answer to the new question.
49. Find the most similar answer to the new question.
50. Find the most similar answer to the new question.
51. Find the most similar answer to the new question.
52. Find the most similar answer to the new question.
53. Find the most similar answer to the new question.
54. Find the most similar answer to the new question.
55. Find the most similar answer to the new question.
56. Find the most similar answer to the new question.
57. Find the most similar answer to the new question.
58. Find the most similar answer to the new question.
59. Find the most similar answer to the new question.
60. Find the most similar answer to the new question.
61. Find the most similar answer to the new question.
62. Find the most similar answer to the new question.
63. Find the most similar answer to the new question.
64. Find the most similar answer to the new question.
65. Find the most similar answer to the new question.
66. Find the most similar answer to the new question.
67. Find the most similar answer to the new question.
68. Find the most similar answer to the new question.
69. Find the most similar answer to the new question.
70. Find the most similar answer to the new question.
71. Find the most similar answer to the new question.
72. Find the most similar answer to the new question.
73. Find the most similar answer to the new question.
74. Find the most similar answer to the new question.
75. Find the most similar answer to the new question.
76. Find the most similar answer to the new question.
77. Find the most similar answer to the new question.
78. Find the most similar answer to the new question.
79. Find the most similar answer to the new question.
80. Find the most similar answer to the new question.
81. Find the most similar answer to the new question.
82. Find the most similar answer to the new question.
83. Find the most similar answer to the new question.
84. Find the most similar answer to the new question.
85. Find",,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure."," 

The procedure is as follows:

1. For each training pair, find the most similar question to the new question. 
2. Find the most similar answer to the new answer.
3. Find the most similar answer to the new answer.
4. Find the most similar answer to the new answer.
5. Find the most similar answer to the new answer.
6. Find the most similar answer to the new answer.
7. Find the most similar answer to the new answer.
8. Find the most similar answer to the new answer.
9. Find the most similar answer to the new answer.
10. Find the most similar answer to the new answer.
11. Find the most similar answer to the new answer.
12. Find the most similar answer to the new answer.
13. Find the most similar answer to the new answer.
14. Find the most similar answer to the new answer.
15. Find the most similar answer to the new answer.
16. Find the most similar answer to the new answer.
17. Find the most similar answer to the new answer.
18. Find the most similar answer to the new answer.
19. Find the most similar answer to the new answer.
20. Find the most similar answer to the new answer.
21. Find the most similar answer to the new answer.
22. Find the most similar answer to the new answer.
23. Find the most similar answer to the new answer.
24. Find the most similar answer to the new answer.
25. Find the most similar answer to the new answer.
26. Find the most similar answer to the new answer.
27. Find the most similar answer to the new answer.
28. Find the most similar answer to the new answer.
29. Find the most similar answer to the new answer.
30. Find the most similar answer to the new answer.
31. Find the most similar answer to the new answer.
32. Find the most similar answer to the new answer.
33. Find the most similar answer to the new answer.
34. Find the most similar answer to the new answer.
35. Find the most similar answer to the new answer.
36. Find the most similar answer to the new answer.
37. Find the most similar answer to the new answer.
38. Find the most similar answer to the new answer.
39. Find the most similar answer to the new answer.
40. Find the most similar answer to the new answer.
41. Find the most similar answer to the new answer.
42. Find the most similar answer to the new answer.
43. Find the most similar answer to the new answer.
44. Find the most similar answer to the new answer.
45. Find the most similar answer to the new answer.
46. Find the most similar answer to the new answer.
47. Find the most similar answer to the new answer.
48. Find the most similar answer to the new answer.
49. Find the most similar answer to the new answer.
50. Find the most similar answer to the new answer.
51. Find the most similar answer to the new answer.
52. Find the most similar answer to the new answer.
53. Find the most similar answer to the new answer.
54. Find the most similar answer to the new answer.
55. Find the most similar answer to the new answer.
56. Find the most similar answer to the new answer.
57. Find the most similar answer to the new answer.
58. Find the most similar answer to the new answer.
59. Find the most similar answer to the new answer.
60. Find the most similar answer to the new answer.
61. Find the most similar answer to the new answer.
62. Find the most similar answer to the new answer.
63. Find the most similar answer to the new answer.
64. Find the most similar answer to the new answer.
65. Find the most similar answer to the new answer.
66. Find the most similar answer to the new answer.
67. Find the most similar answer to the new answer.
68. Find the most similar answer to the new answer.
69. Find the most similar answer to the new answer.
70. Find the most similar answer to the new answer.
71. Find the most similar answer to the new answer.
72. Find the most similar answer to the new answer.
73. Find the most similar answer to the new answer.
74. Find the most similar answer to the new answer.
75. Find the most similar answer to the new answer.
76. Find the most similar answer to the new answer.
77. Find the most similar answer to the new answer.
78. Find the most similar answer to the new answer.
79. Find the most similar answer to the new answer.
80. Find the most similar answer to the new answer.
81. Find the most similar answer to the new answer.
82. Find the most similar answer to the new answer.
83. Find the most similar answer to the new answer.
84. Find the most similar answer to the new answer.
85. Find",,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure."," 

The procedure is as follows:

1. For each training pair, find the most similar question to the new question. 
2. Find the most similar answer to the new question.
3. Find the most similar answer to the new question.
4. Find the most similar answer to the new question.
5. Find the most similar answer to the new question.
6. Find the most similar answer to the new question.
7. Find the most similar answer to the new question.
8. Find the most similar answer to the new question.
9. Find the most similar answer to the new question.
10. Find the most similar answer to the new question.
11. Find the most similar answer to the new question.
12. Find the most similar answer to the new question.
13. Find the most similar answer to the new question.
14. Find the most similar answer to the new question.
15. Find the most similar answer to the new question.
16. Find the most similar answer to the new question.
17. Find the most similar answer to the new question.
18. Find the most similar answer to the new question.
19. Find the most similar answer to the new question.
20. Find the most similar answer to the new question.
21. Find the most similar answer to the new question.
22. Find the most similar answer to the new question.
23. Find the most similar answer to the new question.
24. Find the most similar answer to the new question.
25. Find the most similar answer to the new question.
26. Find the most similar answer to the new question.
27. Find the most similar answer to the new question.
28. Find the most similar answer to the new question.
29. Find the most similar answer to the new question.
30. Find the most similar answer to the new question.
31. Find the most similar answer to the new question.
32. Find the most similar answer to the new question.
33. Find the most similar answer to the new question.
34. Find the most similar answer to the new question.
35. Find the most similar answer to the new question.
36. Find the most similar answer to the new question.
37. Find the most similar answer to the new question.
38. Find the most similar answer to the new question.
39. Find the most similar answer to the new question.
40. Find the most similar answer to the new question.
41. Find the most similar answer to the new question.
42. Find the most similar answer to the new question.
43. Find the most similar answer to the new question.
44. Find the most similar answer to the new question.
45. Find the most similar answer to the new question.
46. Find the most similar answer to the new question.
47. Find the most similar answer to the new question.
48. Find the most similar answer to the new question.
49. Find the most similar answer to the new question.
50. Find the most similar answer to the new question.
51. Find the most similar answer to the new question.
52. Find the most similar answer to the new question.
53. Find the most similar answer to the new question.
54. Find the most similar answer to the new question.
55. Find the most similar answer to the new question.
56. Find the most similar answer to the new question.
57. Find the most similar answer to the new question.
58. Find the most similar answer to the new question.
59. Find the most similar answer to the new question.
60. Find the most similar answer to the new question.
61. Find the most similar answer to the new question.
62. Find the most similar answer to the new question.
63. Find the most similar answer to the new question.
64. Find the most similar answer to the new question.
65. Find the most similar answer to the new question.
66. Find the most similar answer to the new question.
67. Find the most similar answer to the new question.
68. Find the most similar answer to the new question.
69. Find the most similar answer to the new question.
70. Find the most similar answer to the new question.
71. Find the most similar answer to the new question.
72. Find the most similar answer to the new question.
73. Find the most similar answer to the new question.
74. Find the most similar answer to the new question.
75. Find the most similar answer to the new question.
76. Find the most similar answer to the new question.
77. Find the most similar answer to the new question.
78. Find the most similar answer to the new question.
79. Find the most similar answer to the new question.
80. Find the most similar answer to the new question.
81. Find the most similar answer to the new question.
82. Find the most similar answer to the new question.
83. Find the most similar answer to the new question.
84. Find the most similar answer to the new question.
85. Find",,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure.",,,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure.",,,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure."," 

The procedure is as follows:

1. For each training pair, find the answer sentence that is most similar to the new question. 
2. For each answer sentence, find the most similar answer sentence in the training set.
3. Find the most similar answer sentence in the training set for the new question.
4. Find the most similar answer sentence in the training set for the new question.
5. Find the most similar answer sentence in the training set for the new question.
6. Find the most similar answer sentence in the training set for the new question.
7. Find the most similar answer sentence in the training set for the new question.
8. Find the most similar answer sentence in the training set for the new question.
9. Find the most similar answer sentence in the training set for the new question.
10. Find the most similar answer sentence in the training set for the new question.
11. Find the most similar answer sentence in the training set for the new question.
12. Find the most similar answer sentence in the training set for the new question.
13. Find the most similar answer sentence in the training set for the new question.
14. Find the most similar answer sentence in the training set for the new question.
15. Find the most similar answer sentence in the training set for the new question.
16. Find the most similar answer sentence in the training set for the new question.
17. Find the most similar answer sentence in the training set for the new question.
18. Find the most similar answer sentence in the training set for the new question.
19. Find the most similar answer sentence in the training set for the new question.
20. Find the most similar answer sentence in the training set for the new question.
21. Find the most similar answer sentence in the training set for the new question.
22. Find the most similar answer sentence in the training set for the new question.
23. Find the most similar answer sentence in the training set for the new question.
24. Find the most similar answer sentence in the training set for the new question.
25. Find the most similar answer sentence in the training set for the new question.
26. Find the most similar answer sentence in the training set for the new question.
27. Find the most similar answer sentence in the training set for the new question.
28. Find the most similar answer sentence in the training set for the new question.
29. Find the most similar answer sentence in the training set for the new question.
30. Find the most similar answer sentence in the training set for the new question.
31. Find the most similar answer sentence in the training set for the new question.
32. Find the most similar answer sentence in the training set for the new question.
33. Find the most similar answer sentence in the training set for the new question.
34. Find the most similar answer sentence in the training set for the new question.
35. Find the most similar answer sentence in the training set for the new question.
36. Find the most similar answer sentence in the training set for the new question.
37. Find the most similar answer sentence in the training set for the new question.
38. Find the most similar answer sentence in the training set for the new question.
39. Find the most similar answer sentence in the training set for the new question.
40. Find the most similar answer sentence in the training set for the new question.
41. Find the most similar answer sentence in the training set for the new question.
42. Find the most similar answer sentence in the training set for the new question.
43. Find the most similar answer sentence in the training set for the new question.
44. Find the most similar answer sentence in the training set for the new question.
45. Find the most similar answer sentence in the training set for the new question.
46. Find the most similar answer sentence in the training set for the new question.
47. Find the most similar answer sentence in the training set for the new question.
48. Find the most similar answer sentence in the training set for the new question.
49. Find the most similar answer sentence in the training set for the new question.
50. Find the most similar answer sentence in the training set for the new question.
51. Find the most similar answer sentence in the training set for the new question.
52. Find the most similar answer sentence in the training set for the new question.
53. Find the most similar answer sentence in the training set for the new question.
54. Find the most similar answer sentence in the training set for the new question.
55. Find the most similar answer sentence in the training set for the new question.
56. Find the most similar answer sentence in the training set for the new question.
57. Find the most similar answer sentence in the training set for the new question.
58. Find the most similar answer sentence in the training set for the new question.
59. Find the most similar answer sentence in the training set for the new question.
60. Find the most similar answer sentence in",,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure."," 

The procedure is as follows:

1. For each training pair, find the most similar question to the new question. 
2. Find the most similar answer to the new question.
3. Find the most similar answer to the new question.
4. Find the most similar answer to the new question.
5. Find the most similar answer to the new question.
6. Find the most similar answer to the new question.
7. Find the most similar answer to the new question.
8. Find the most similar answer to the new question.
9. Find the most similar answer to the new question.
10. Find the most similar answer to the new question.
11. Find the most similar answer to the new question.
12. Find the most similar answer to the new question.
13. Find the most similar answer to the new question.
14. Find the most similar answer to the new question.
15. Find the most similar answer to the new question.
16. Find the most similar answer to the new question.
17. Find the most similar answer to the new question.
18. Find the most similar answer to the new question.
19. Find the most similar answer to the new question.
20. Find the most similar answer to the new question.
21. Find the most similar answer to the new question.
22. Find the most similar answer to the new question.
23. Find the most similar answer to the new question.
24. Find the most similar answer to the new question.
25. Find the most similar answer to the new question.
26. Find the most similar answer to the new question.
27. Find the most similar answer to the new question.
28. Find the most similar answer to the new question.
29. Find the most similar answer to the new question.
30. Find the most similar answer to the new question.
31. Find the most similar answer to the new question.
32. Find the most similar answer to the new question.
33. Find the most similar answer to the new question.
34. Find the most similar answer to the new question.
35. Find the most similar answer to the new question.
36. Find the most similar answer to the new question.
37. Find the most similar answer to the new question.
38. Find the most similar answer to the new question.
39. Find the most similar answer to the new question.
40. Find the most similar answer to the new question.
41. Find the most similar answer to the new question.
42. Find the most similar answer to the new question.
43. Find the most similar answer to the new question.
44. Find the most similar answer to the new question.
45. Find the most similar answer to the new question.
46. Find the most similar answer to the new question.
47. Find the most similar answer to the new question.
48. Find the most similar answer to the new question.
49. Find the most similar answer to the new question.
50. Find the most similar answer to the new question.
51. Find the most similar answer to the new question.
52. Find the most similar answer to the new question.
53. Find the most similar answer to the new question.
54. Find the most similar answer to the new question.
55. Find the most similar answer to the new question.
56. Find the most similar answer to the new question.
57. Find the most similar answer to the new question.
58. Find the most similar answer to the new question.
59. Find the most similar answer to the new question.
60. Find the most similar answer to the new question.
61. Find the most similar answer to the new question.
62. Find the most similar answer to the new question.
63. Find the most similar answer to the new question.
64. Find the most similar answer to the new question.
65. Find the most similar answer to the new question.
66. Find the most similar answer to the new question.
67. Find the most similar answer to the new question.
68. Find the most similar answer to the new question.
69. Find the most similar answer to the new question.
70. Find the most similar answer to the new question.
71. Find the most similar answer to the new question.
72. Find the most similar answer to the new question.
73. Find the most similar answer to the new question.
74. Find the most similar answer to the new question.
75. Find the most similar answer to the new question.
76. Find the most similar answer to the new question.
77. Find the most similar answer to the new question.
78. Find the most similar answer to the new question.
79. Find the most similar answer to the new question.
80. Find the most similar answer to the new question.
81. Find the most similar answer to the new question.
82. Find the most similar answer to the new question.
83. Find the most similar answer to the new question.
84. Find the most similar answer to the new question.
85. Find",,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: Implement a procedure that given a new (previously unseen) question-answer pair generates a new answer starting sentence, dependent on the training pairs above.


The procedure should be simple because we are dealing with a sample size this small, and there are a small number of interactions to be explained. More domain knowledge, training pairs and relationships would require a more elaborate/complicated procedure."," 

The procedure is as follows:

1. For each training pair, extract the question and answer starting sentence.
2. For each training pair, extract the question and answer ending sentence.
3. For each training pair, extract the question and answer ending sentence.
4. For each training pair, extract the question and answer ending sentence.
5. For each training pair, extract the question and answer ending sentence.
6. For each training pair, extract the question and answer ending sentence.
7. For each training pair, extract the question and answer ending sentence.
8. For each training pair, extract the question and answer ending sentence.
9. For each training pair, extract the question and answer ending sentence.
10. For each training pair, extract the question and answer ending sentence.
11. For each training pair, extract the question and answer ending sentence.
12. For each training pair, extract the question and answer ending sentence.
13. For each training pair, extract the question and answer ending sentence.
14. For each training pair, extract the question and answer ending sentence.
15. For each training pair, extract the question and answer ending sentence.
16. For each training pair, extract the question and answer ending sentence.
17. For each training pair, extract the question and answer ending sentence.
18. For each training pair, extract the question and answer ending sentence.
19. For each training pair, extract the question and answer ending sentence.
20. For each training pair, extract the question and answer ending sentence.
21. For each training pair, extract the question and answer ending sentence.
22. For each training pair, extract the question and answer ending sentence.
23. For each training pair, extract the question and answer ending sentence.
24. For each training pair, extract the question and answer ending sentence.
25. For each training pair, extract the question and answer ending sentence.
26. For each training pair, extract the question and answer ending sentence.
27. For each training pair, extract the question and answer ending sentence.
28. For each training pair, extract the question and answer ending sentence.
29. For each training pair, extract the question and answer ending sentence.
30. For each training pair, extract the question and answer ending sentence.
31. For each training pair, extract the question and answer ending sentence.
32. For each training pair, extract the question and answer ending sentence.
33. For each training pair, extract the question and answer ending sentence.
34. For each training pair, extract the question and answer ending sentence.
35. For each training pair, extract the question and answer ending sentence.
36. For each training pair, extract the question and answer ending sentence.
37. For each training pair, extract the question and answer ending sentence.
38. For each training pair, extract the question and answer ending sentence.
39. For each training pair, extract the question and answer ending sentence.
40. For each training pair, extract the question and answer ending sentence.
41. For each training pair, extract the question and answer ending sentence.
42. For each training pair, extract the question and answer ending sentence.
43. For each training pair, extract the question and answer ending sentence.
44. For each training pair, extract the question and answer ending sentence.
45. For each training pair, extract the question and answer ending sentence.
46. For each training pair, extract the question and answer ending sentence.
47. For each training pair, extract the question and answer ending sentence.
48. For each training pair, extract the question and answer ending sentence.
49. For each training pair, extract the question and answer ending sentence.
50. For each training pair, extract the question and answer ending sentence.
51. For each training pair, extract the question and answer ending sentence.
52. For each training pair, extract the question and answer ending sentence.
53. For each training pair, extract the question and answer ending sentence.
54. For each training pair, extract the question and answer ending sentence.
55. For each training pair, extract the question and answer ending sentence.
56. For each training pair, extract the question and answer ending sentence.
57. For each training pair, extract the question and answer ending sentence.
58. For each training pair, extract the question and answer ending sentence.
59. For each training pair, extract the question and answer ending sentence.
60. For each training pair, extract the question and answer ending sentence.
61. For each training pair, extract the question and answer ending sentence.
62. For each training pair, extract the question and answer ending sentence.
63. For each training pair, extract the question and answer ending sentence.
64. For each training pair, extract the question and answer ending sentence.
65. For each training pair, extract the question and answer ending sentence.
66. For each training pair, extract the question and answer ending sentence.
67. For each training pair, extract the question and answer ending sentence.
68. For each training pair, extract the question and answer",,8,0.0
