index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: Everything after"," the word ""so"" is the new information. The new information is that her rent and utilities only amount to 25% of her monthly income. The old information is that her rent and utilities used to amount to 40% of her monthly income. We can set up an equation to solve for her previous monthly income. Let x be her previous monthly income. We know that 40% of x is equal to 25% of x + 600. We can write this as 0.4x = 0.25x + 600. We can solve for x by subtracting 0.25x from both sides. 0.15x = 600. We can divide both sides by 0.15 to get x = 4000. Therefore, her previous monthly income was $4000.

Q: A company has 100 employees. 60% of the employees are women. 40% of the women are married. 20% of the men are married. How many of the employees are married?

A: We can set up a table to solve this problem. We know that 60% of the employees are women, so we can write 60% of 100 = 60. We know that 40% of the women are married, so we can write 40% of 60 = 24. We know that 20% of the men are married, so we can write 20% of 40 = 8. We can add 24 and 8 to get 32. Therefore, 32 of the employees are married.

Q: A company has 100 employees. 60% of the employees are women. 40% of the women are married. 20% of the men are married. How many of the employees are women?

A: We can set up a table to solve this problem. We know that 60% of the employees are women, so we can write 60% of 100 = 60. We know that 40% of the women are married, so we can write 40% of 60 = 24. We know that 20% of the men are married, so we can write 20% of 40 = 8. We can add 24 and 8 to get 32. Therefore, 32 of the employees are married.

Q: A company has 100 employees. 60% of the employees are women. 40% of the women are married. 20% of the men are married. How many of the employees are men?

A: We can set up a table to solve this problem. We know that 60% of the employees are women, so we can write 60% of 100 = 60. We know that 40% of the women are married, so we can write 40% of 60 = 24. We know that 20% of the men are married, so we can write 20% of 40 = 8. We can add 24 and 8 to get 32. Therefore, 32 of the employees are married.

Q: A company has 100 employees. 60% of the employees are women. 40% of the women are married. 20% of the men are married. How many of the employees are single?

A: We can set up a table to solve this problem. We know that 60% of the employees are women, so we can write 60% of 100 = 60. We know that 40% of the women are married, so we can write 40% of 60 = 24. We know that 20% of the men are married, so we can write 20% of 40 = 8. We can add 24 and 8 to get 32. Therefore, 32 of the employees are married. We can subtract 32 from 100 to get 68. Therefore, 68 of the employees are single.

Q: A company has 100 employees. 60% of the employees are women. 40% of the women are married. 20% of the men are married. How many of the employees are single women?

A: We can set up a table to solve this problem. We know that 60% of the employees are women, so we can write 60% of 100 = 60. We know that 40% of the women are married, so we can write 40% of 60 = 24. We know that 20% of the men are married, so we can write 20% of 40 = 8. We can add 24 and 8 to get 32. Therefore, 32 of the employees are married. We can subtract 32 from 100 to get 68. Therefore, 68 of the employees are single. We can subtract 32 from 68 to get 36. Therefore, 36 of the",4000,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: Everything after"," the comma is a fraction of the first number. So, the total number of cups of water, flour, and teaspoons of salt is 10 + 16 + 8 = 34.",34,34,1.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: Everything after"," the word ""and"" is irrelevant. The question is asking how many ounces of tea Artemis needs to make 12 cups of tea, each of which is 6 ounces. The ratio is 1 ounce of tea to 8 ounces of tea. So, 12 cups of tea is 12 times the ratio, or 12 times 1 ounce of tea to 8 ounces of tea. This is 12 ounces of tea to 96 ounces of tea. So, Artemis needs 12 ounces of tea to make 12 cups of tea.",12,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: Everything after", the first sentence is irrelevant. The answer is 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 - 75*11 = 60*14 -,14,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after"," the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Everything after the comma is irrelevant. The answer is 9.

Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A",9,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: Everything after"," the word ""if"" is the information we are given. We are told that Laurie collected 36 shells. We are also told that Ben collected a third of what Laurie did. So, Ben collected 36/3 = 12 shells. We are also told that Alan collected four times as many shells as Ben did. So, Alan collected 4(12) = 48 shells.",48,48,1.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Everything after"," the cat knocked the aquarium over is irrelevant. The aquarium is now half full of water, so the volume of water is 2/4 of the volume of the aquarium. The volume of the aquarium is 4*6*3 = 72 cubic feet, so the volume of water is 72/2 = 36 cubic feet.",36,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Everything after", the first sentence is irrelevant.  The answer is 6.,6,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Everything after"," the first 109 is change. So, 500 - 109 = 391. The 6-year-old gets a $5 discount, so 391 - 5 = 386. The 10-year-old gets a $5 discount, so 386 - 5 = 381. The total change is 381.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Everything after the first 109 is change. So, 500 - 109 = 391. The 6-year-old gets a $5 discount, so 391 - 5 = 386. The 10-year-old gets a $5 discount, so 386 - 5 = 381. The total change is 381.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Everything after the first 109 is change. So, 500 - 109 = 391. The 6-year-old gets a $5 discount, so 391 - 5 = 386. The 10-year-old gets a $5 discount, so 386 - 5 = 381. The total change is 381.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Everything after the first 109 is change. So, 500 - 109 = 391. The 6-year-old gets a $5 discount, so 391 - 5 = 386. The 10-year-old gets a $5 discount, so 386 - 5 = 381. The total change is 381.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Everything after the first 109 is change. So, 500 - 109 = 391. The 6-year-old gets a $5 discount, so 391 - 5 = 386. The 10-year-old gets a $5 discount, so 386 - 5 = 381. The total change is 381.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Everything after the first 109 is change. So, 500 - 109 = 391. The 6-year-old gets a $5 discount, so 391 - 5 = 386. The 10-year-old gets a $5 discount, so 386 - 5 = 381. The total change is 381.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Everything after the first 109 is change. So, 500 - 109 = 391. The 6-year-old gets a $5 discount, so 391 - 5 = 386. The 10-year-old gets a $5 discount, so 386 - 5 = 381. The total change is 381.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Everything after the first 109 is change. So, 500 - 109 = 391. The 6-year-old gets a $5 discount, so 391 - 5 = 386. The 10-year-old gets a $5 discount, so 386 - 5 = 381. The total change is 381.

Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have",381,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: Everything after"," this point is a solution to the problem.

The first butcher delivered 10 packages, and the second butcher delivered 7 packages. The third butcher delivered the remaining packages. The total number of packages delivered by the three butchers is 10 + 7 + x = 100. Therefore, x = 83. The third butcher delivered 83 packages.

This solution is correct.",packages.,8,0.0
