index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: Abc","

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is $10, what is the new price? A: Abc Q: A 10% increase in the price of a product is equivalent to a 10% decrease in the quantity demanded. If the price of the product is$10, what is the new price?

A: Abc

",,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: Abc","

Explanation:

We are given that Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour.

Let x be the number of cups of flour.

Then, the number of teaspoons of salt is 1/2 times as many teaspoons of salt as the number of cups of flour.

The number of teaspoons of salt is 1/2 x.

The combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza is

10 + 16 + 1/2 x

The combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza is 10 + 16 + 1/2 x.",,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: Abc","

B: Cde

C: Fgh

D: Ijk

E: Lmn

F: Opq

G: Rst

H: Uvw

I: Xyz

J: Abc

K: Cde

L: Fgh

M: Ijk

N: Lmn

O: Opq

P: Rst

Q: Uvw

R: Xyz

S: Abc

T: Cde

U: Fgh

V: Ijk

W: Lmn

X: Opq

Y: Rst

Z: Uvw",,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: Abc","

B: Cba

C: Bca

D: Bac

Explanation: Anna gets 14 pieces of candy per house, so she gets 14 x 60 = 840 pieces of candy. Billy gets 11 pieces of candy per house, so he gets 11 x 75 = 825 pieces of candy. Anna gets 840 - 825 = 15 more pieces of candy than Billy.",15,15,1.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Abc","de

Explanation: 6 piles of 9 hands with 14 bananas each = 6 x 9 x 14 = 756 bananas
6 piles of 12 hands with 9 bananas each = 6 x 12 x 9 = 648 bananas
Total bananas = 756 + 648 = 1404 bananas
12 monkeys = 1404 / 12 = 117 bananas each",117,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: Abc","de

Step by Step Explanation:
1. Let the number of shells collected by Ben be x.
2. The number of shells collected by Alan is 4x.
3. The number of shells collected by Laurie is 3x.
4. Given that Laurie collected 36 shells.
5. 3x = 36
6. x = 36/3
7. x = 12
8. The number of shells collected by Alan is 4x.
9. The number of shells collected by Alan is 4 × 12 = 48.",48,48,1.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Abc"," of volume

B: 1/2 x 3 x 6 x 4 = 36

C: 3 x 36 = 108

D: 108

E: 108

F: 108

G: 108

H: 108

I: 108

J: 108

K: 108

L: 108

M: 108

N: 108

O: 108

P: 108

Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Abc of volume

B: 1/2 x 3 x 6 x 4 = 36

C: 3 x 36 = 108

D: 108

E: 108

F: 108

G: 108

H: 108

I: 108

J: 108

K: 108

L: 108

M: 108

N: 108

O: 108

P: 108

Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Abc of volume

B: 1/2 x 3 x 6 x 4 = 36

C: 3 x 36 = 108

D: 108

E: 108

F: 108

G: 108

H: 108

I: 108

J: 108

K: 108

L: 108

M: 108

N: 108

O: 108

P: 108

Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Abc of volume

B: 1/2 x 3 x 6 x 4 = 36

C: 3 x 36 = 108

D: 108

E: 108

F: 108

G: 108

H: 108

I: 108

J: 108

K: 108

L: 108

M: 108

N: 108

O: 108

P: 108

Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Abc of volume

B: 1/2 x 3 x 6 x 4 = 36

C: 3 x 36 = 108

D: 108

E: 108

F: 108

G: 108

H: 108

I: 108

J: 108

K: 108

L: 108

M: 108

N: 108

O: 108

P: 108

Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Abc of volume

B: 1/2 x 3 x 6 x 4 = 36

C: 3 x 36 = 108

D: 108

E: 108

F: 108

G: 108

H: 108

I: 108

J: 108

K: 108

L: 108

M: 108

N",108,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Abc","defg

B: Abcdefg

C: Abcdefg

D: Abcdefg

E: Abcdefg

F: Abcdefg

G: Abcdefg

H: Abcdefg

J: Abcdefg

K: Abcdefg

L: Abcdefg

M: Abcdefg

N: Abcdefg

O: Abcdefg

P: Abcdefg

Q: Abcdefg

R: Abcdefg

S: Abcdefg

T: Abcdefg

U: Abcdefg

V: Abcdefg

W: Abcdefg

X: Abcdefg

Y: Abcdefg

Z: Abcdefg

Answer: D",defg,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Abc","

B: Bcd

C: Cde

D: Dfe

E: Efg

F: Fgh

G: Ghi

H: Hjk

I: Ikl

J: Jlm

K: Kmn

L: Lno

M: Mop

N: Npq

O: Opr

P: Pqs

Q: Qrt

R: Rtu

S: Suv

T: Twv

U: Uwx

V: Vxy

W: Wyz

X: Xza

Y: Yzb

Z: Zca",,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: Abc","

B: Bcd

C: Cde

D: Dfe

E: Efg

Answer: A",,8,0.0
