index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: Answer. Ground truth answer:


Suggestion: about pointing errors"," in the question, I think it is better to point out the errors in the question, rather than the answer. The answer is a ground truth, and it is not the point of the question. The question is about the question, not the answer.",question.,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: Answer. Ground truth answer:


Suggestion: about pointing errors",", I think it is better to use the same word for the same thing. For example, in the question, the word ""cups"" is used twice, but in the answer, the word ""cup"" is used twice. I think it is better to use the same word for the same thing.",twice.,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: Answer. Ground truth answer:


Suggestion: about pointing errors"," in the question. I think the question is fine. It is a bit long, but it is not too long. It is not too hard to understand. It is not too hard to answer. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade. It is not too hard to grade.",grade.,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: Answer. Ground truth answer:


Suggestion: about pointing errors"," in the question. I think the question is clear enough. The only thing that is not clear is the meaning of ""per house"". I think it means that Anna gets 14 pieces of candy per house in the first subdivision, and Billy gets 11 pieces of candy per house in the second subdivision. If the question is about the total number of pieces of candy, then the question is clear enough. If the question is about the average number of pieces of candy, then the question is not clear enough. I think the question is about the total number of pieces of candy.",enough.,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Answer. Ground truth answer:


Suggestion: about pointing errors",", I think it's a good idea to have a ""pointing"" button, which will highlight the answer in the text. This will help the user to see where the answer is.",text.,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: Answer. Ground truth answer:


Suggestion: about pointing errors",", I think it is better to have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the ground truth answer. This way, we can have a separate field for the answer, and the",answer.,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Answer. Ground truth answer:


Suggestion: about pointing errors", in the question. I think the question is clear enough. The only thing that is not clear is the unit of the answer. I think it should be cubic feet. I think the question is clear enough. The only thing that is not clear is the unit of the answer. I think it should be cubic feet.,answer.,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Answer. Ground truth answer:


Suggestion: about pointing errors",", I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other errors.  I think it's better to have a separate error type for pointing errors, and then have a separate error type for other",it',45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Answer. Ground truth answer:


Suggestion: about pointing errors",", I think it is better to point to the error rather than the correct answer. For example, in this case, it would be better to point to the 5 in the regular ticket cost rather than the 109.",109,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: Answer. Ground truth answer:


Suggestion: about pointing errors"," in the question. I think the question is not clear. It is not clear if the 100 pounds is the total weight of the ground beef or the weight of the ground beef delivered by the third butcher. If the 100 pounds is the total weight of the ground beef, then the answer is 83 packages. If the 100 pounds is the weight of the ground beef delivered by the third butcher, then the answer is 100 packages.",100,8,0.0
