index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: Here are some template examples."," You can use them to solve the problem.

1. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

2. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

3. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

4. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

5. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

6. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

7. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

8. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

9. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

10. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

11. Let $x$ be the previous monthly income. Then $0.4x$ is the amount spent on rent and utilities. After the salary increase, $0.25(x+600)$ is the amount spent on rent and utilities. Since the amount spent on rent and utilities is the same, we have $$0.4x=0.25(x+600).$$ Solve for $x$ to get $x=2400$.

12. Let",2400,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: Here are some template examples."," You can use them to help you solve the problem.

1. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $x/2$.

2. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

3. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

4. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

5. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

6. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

7. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

8. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

9. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

10. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

11. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

12. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

13. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

14. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

15. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

16. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

17. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

18. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

19. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

20. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

21. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

22. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

23. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

24. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

25. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

26. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

27. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

28. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

29. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

30. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 = 8x$.

31. Let $x$ be the number of cups of flour. Then the number of teaspoons of salt is $16x/2 =",,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: Here are some template examples."," You can use them to help you solve the problem.

• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
• 8 ounces of tea for 1 person
•",person,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: Here are some template examples."," You can use them to help you solve the problem.

• Anna gets 14 pieces of candy per house, so she gets 14 × 60 = 840 pieces of candy.
• Billy gets 11 pieces of candy per house, so he gets 11 × 75 = 825 pieces of candy.
• Anna gets 840 pieces of candy, and Billy gets 825 pieces of candy, so Anna gets 840 − 825 = 15 more pieces of candy than Billy.

Q: A rectangular prism has a volume of 1,296 cubic centimeters. If the length of the prism is 12 centimeters, what is the volume of the prism if the width is doubled and the height is tripled?

A: Here are some template examples. You can use them to help you solve the problem.

• The volume of the prism is 1,296 cubic centimeters.
• The length of the prism is 12 centimeters.
• If the width is doubled, the new width is 2 × 12 = 24 centimeters.
• If the height is tripled, the new height is 3 × 12 = 36 centimeters.
• The volume of the prism is 1,296 cubic centimeters, the length is 12 centimeters, the new width is 24 centimeters, and the new height is 36 centimeters, so the new volume is 1,296 × 24 × 36 = 1,296,576 cubic centimeters.

Q: A rectangular prism has a volume of 1,296 cubic centimeters. If the length of the prism is 12 centimeters, what is the volume of the prism if the width is doubled and the height is tripled?

A: Here are some template examples. You can use them to help you solve the problem.

• The volume of the prism is 1,296 cubic centimeters.
• The length of the prism is 12 centimeters.
• If the width is doubled, the new width is 2 × 12 = 24 centimeters.
• If the height is tripled, the new height is 3 × 12 = 36 centimeters.
• The volume of the prism is 1,296 cubic centimeters, the length is 12 centimeters, the new width is 24 centimeters, and the new height is 36 centimeters, so the new volume is 1,296 × 24 × 36 = 1,296,576 cubic centimeters.

Q: A rectangular prism has a volume of 1,296 cubic centimeters. If the length of the prism is 12 centimeters, what is the volume of the prism if the width is doubled and the height is tripled?

A: Here are some template examples. You can use them to help you solve the problem.

• The volume of the prism is 1,296 cubic centimeters.
• The length of the prism is 12 centimeters.
• If the width is doubled, the new width is 2 × 12 = 24 centimeters.
• If the height is tripled, the new height is 3 × 12 = 36 centimeters.
• The volume of the prism is 1,296 cubic centimeters, the length is 12 centimeters, the new width is 24 centimeters, and the new height is 36 centimeters, so the new volume is 1,296 × 24 × 36 = 1,296,576 cubic centimeters.

Q: A rectangular prism has a volume of 1,296 cubic centimeters. If the length of the prism is 12 centimeters, what is the volume of the prism if the width is doubled and the height is tripled?

A: Here are some template examples. You can use them to help you solve the problem.

• The volume of the prism is 1,296 cubic centimeters.
• The length of the prism is 12 centimeters.
• If the width is doubled, the new width is 2 × 12 = 24 centimeters.
• If the height is tripled, the new height is 3 × 12 = 36 centimeters.
• The volume of the prism is 1,296 cubic centimeters, the length is 12 centimeters, the new width is 24 centimeters, and the new height is 36 centimeters, so the new volume is 1,296 × 24 × 36 = 1,296,576 cubic centimeters.

Q: A rectangular prism has a volume of 1,296 cubic centimeters. If the length of the prism is 12 centimeters, what is the volume of the prism if the width is doubled and the height is tripled?

A: Here are some template examples. You can use them to help you solve the problem.

• The volume of the prism is 1,296 cubic centimeters.
• The length of the prism is 12 centimeters.
• If the",15,15,1.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: Here are some template examples."," You can use them to help you solve the problem.

1. 6 piles of 9 bananas each, 4 piles of 9 bananas each
2. 6 piles of 9 bananas each, 4 piles of 12 bananas each
3. 6 piles of 14 bananas each, 4 piles of 9 bananas each
4. 6 piles of 14 bananas each, 4 piles of 12 bananas each

The answer is 4.",4,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: Here are some template examples.", You can use them to solve the problem.,,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: Here are some template examples.", You can use them to help you solve the problem.,,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Here are some template examples.","  You can use them to help you solve the problem.

1.  Let x = the number of gumballs Hector purchased.
2.  Let y = the number of gumballs Hector gave to Todd.
3.  Let z = the number of gumballs Hector gave to Alisha.
4.  Let w = the number of gumballs Hector gave to Bobby.

5.  Hector gave 4 to Todd.  So, y = 4.
6.  Hector gave twice as many as he had given Todd to Alisha.  So, z = 2y.
7.  Hector gave 5 less than four times as many to Bobby as he had given to Alisha.  So, w = 4z - 5.
8.  Hector had 6 gumballs remaining.  So, x - y - z - w = 6.

9.  Solve the system of equations to find x.
10.  The total number of gumballs that Hector purchased is x.

11.  The total number of gumballs that Hector purchased is 36.

Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: Here are some template examples.  You can use them to help you solve the problem.

1.  Let x = the number of gumballs Hector purchased.
2.  Let y = the number of gumballs Hector gave to Todd.
3.  Let z = the number of gumballs Hector gave to Alisha.
4.  Let w = the number of gumballs Hector gave to Bobby.

5.  Hector gave 4 to Todd.  So, y = 4.
6.  Hector gave twice as many as he had given Todd to Alisha.  So, z = 2y.
7.  Hector gave 5 less than four times as many to Bobby as he had given to Alisha.  So, w = 4z - 5.
8.  Hector had 6 gumballs remaining.  So, x - y - z - w = 6.

9.  Solve the system of equations to find x.
10.  The total number of gumballs that Hector purchased is x.

11.  The total number of gumballs that Hector purchased is 36.",36,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: Here are some template examples."," You can use them to help you solve the problem.

1. Let $x$ be the number of regular tickets.
2. Let $y$ be the number of discounted tickets.
3. Let $z$ be the change they will receive.
4. Let $a$ be the amount of money they gave the cashier.
5. Let $b$ be the total cost of the tickets.
6. Let $c$ be the amount of money they will have left after paying for the tickets.
7. Let $d$ be the amount of money they will have left after paying for the tickets and receiving the change.
8. Let $e$ be the amount of money they will have left after paying for the tickets and receiving the change.
9. Let $f$ be the amount of money they will have left after paying for the tickets and receiving the change.
10. Let $g$ be the amount of money they will have left after paying for the tickets and receiving the change.
11. Let $h$ be the amount of money they will have left after paying for the tickets and receiving the change.
12. Let $i$ be the amount of money they will have left after paying for the tickets and receiving the change.
13. Let $j$ be the amount of money they will have left after paying for the tickets and receiving the change.
14. Let $k$ be the amount of money they will have left after paying for the tickets and receiving the change.
15. Let $l$ be the amount of money they will have left after paying for the tickets and receiving the change.
16. Let $m$ be the amount of money they will have left after paying for the tickets and receiving the change.
17. Let $n$ be the amount of money they will have left after paying for the tickets and receiving the change.
18. Let $o$ be the amount of money they will have left after paying for the tickets and receiving the change.
19. Let $p$ be the amount of money they will have left after paying for the tickets and receiving the change.
20. Let $q$ be the amount of money they will have left after paying for the tickets and receiving the change.
21. Let $r$ be the amount of money they will have left after paying for the tickets and receiving the change.
22. Let $s$ be the amount of money they will have left after paying for the tickets and receiving the change.
23. Let $t$ be the amount of money they will have left after paying for the tickets and receiving the change.
24. Let $u$ be the amount of money they will have left after paying for the tickets and receiving the change.
25. Let $v$ be the amount of money they will have left after paying for the tickets and receiving the change.
26. Let $w$ be the amount of money they will have left after paying for the tickets and receiving the change.
27. Let $x$ be the amount of money they will have left after paying for the tickets and receiving the change.
28. Let $y$ be the amount of money they will have left after paying for the tickets and receiving the change.
29. Let $z$ be the amount of money they will have left after paying for the tickets and receiving the change.
30. Let $a$ be the amount of money they will have left after paying for the tickets and receiving the change.
31. Let $b$ be the amount of money they will have left after paying for the tickets and receiving the change.
32. Let $c$ be the amount of money they will have left after paying for the tickets and receiving the change.
33. Let $d$ be the amount of money they will have left after paying for the tickets and receiving the change.
34. Let $e$ be the amount of money they will have left after paying for the tickets and receiving the change.
35. Let $f$ be the amount of money they will have left after paying for the tickets and receiving the change.
36. Let $g$ be the amount of money they will have left after paying for the tickets and receiving the change.
37. Let $h$ be the amount of money they will have left after paying for the tickets and receiving the change.
38. Let $i$ be the amount of money they will have left after paying for the tickets and receiving the change.
39. Let $j$ be the amount of money they will have left after paying for the tickets and receiving the change.
40. Let $k$ be the amount of money they will have left after paying for the tickets and receiving the change.
41. Let $l$ be the amount of money they will have left after paying for the tickets and receiving the change.
42. Let $m$ be the amount of money they will have left after paying for the tickets and receiving the change.
43. Let $n$ be the amount of money they will have left after paying for the tickets and receiving the",1,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: Here are some template examples.", The first one is a simple example of a template. The second one is a more complex example of a template. The third one is a more complex example of a template. The fourth one is a more complex example of a template. The fifth one is a more complex example of a template. The sixth one is a more complex example of a template. The seventh one is a more complex example of a template. The eighth one is a more complex example of a template. The ninth one is a more complex example of a template. The tenth one is a more complex example of a template. The eleventh one is a more complex example of a template. The twelfth one is a more complex example of a template. The thirteenth one is a more complex example of a template. The fourteenth one is a more complex example of a template. The fifteenth one is a more complex example of a template. The sixteenth one is a more complex example of a template. The seventeenth one is a more complex example of a template. The eighteenth one is a more complex example of a template. The nineteenth one is a more complex example of a template. The twentieth one is a more complex example of a template. The twenty-first one is a more complex example of a template. The twenty-second one is a more complex example of a template. The twenty-third one is a more complex example of a template. The twenty-fourth one is a more complex example of a template. The twenty-fifth one is a more complex example of a template. The twenty-sixth one is a more complex example of a template. The twenty-seventh one is a more complex example of a template. The twenty-eighth one is a more complex example of a template. The twenty-ninth one is a more complex example of a template. The thirtieth one is a more complex example of a template. The thirty-first one is a more complex example of a template. The thirty-second one is a more complex example of a template. The thirty-third one is a more complex example of a template. The thirty-fourth one is a more complex example of a template. The thirty-fifth one is a more complex example of a template. The thirty-sixth one is a more complex example of a template. The thirty-seventh one is a more complex example of a template. The thirty-eighth one is a more complex example of a template. The thirty-ninth one is a more complex example of a template. The fortieth one is a more complex example of a template. The forty-first one is a more complex example of a template. The forty-second one is a more complex example of a template. The forty-third one is a more complex example of a template. The forty-fourth one is a more complex example of a template. The forty-fifth one is a more complex example of a template. The forty-sixth one is a more complex example of a template. The forty-seventh one is a more complex example of a template. The forty-eighth one is a more complex example of a template. The forty-ninth one is a more complex example of a template. The fiftieth one is a more complex example of a template. The fifty-first one is a more complex example of a template. The fifty-second one is a more complex example of a template. The fifty-third one is a more complex example of a template. The fifty-fourth one is a more complex example of a template. The fifty-fifth one is a more complex example of a template. The fifty-sixth one is a more complex example of a template. The fifty-seventh one is a more complex example of a template. The fifty-eighth one is a more complex example of a template. The fifty-ninth one is a more complex example of a template. The sixtieth one is a more complex example of a template. The sixty-first one is a more complex example of a template. The sixty-second one is a more complex example of a template. The sixty-third one is a more complex example of a template. The sixty-fourth one is a more complex example of a template. The sixty-fifth one is a more complex example of a template. The sixty-sixth one is a more complex example of a template. The sixty-seventh one is a more complex example of a template. The sixty-eighth one is a more complex example of a template. The sixty-ninth one is a more complex example of a template. The seventieth one is a more complex example of a template. The seventy-first one is a more complex example of a template. The seventy-second one is a more complex example of a template. The seventy-third one is a more complex example of a template. The seventy-fourth one is a more complex example of a template. The seventy-fifth one is a more complex example of a template. The seventy-sixth one is a more complex example of a template. The seventy-seventh one is a more,1,8,0.0
