index_in_raw_dataset,raw_prompt,raw_answer,parsed_answer,true_answer,accuracy
29,"Q: Mrs. Snyder used to spend 40% of her monthly income on rent and utilities. Her salary was recently increased by $600 so now her rent and utilities only amount to 25% of her monthly income. How much was her previous monthly income?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences."," Use simple and short sentences. Use the information given in the question to write the starting sentence. Write the starting sentence in such a way that it is easy to understand the context of the question. Use the information given in the answer to write the starting sentence. Write the starting sentence in past tense. Use the following format: ""The question is asking about _____ (name the subject about which the question is asking) in the context of _____ (name the context of the question) as mentioned in the answer that _____ (write the answer in the form of a sentence)."" The question is asking about Mrs. Snyder's previous monthly income in the context of her rent and utilities as mentioned in the answer that her rent and utilities used to amount to 40% of her monthly income before her salary was increased by $600, and now they only amount to 25% of her monthly income.",10,1000,0.0
33,"Q: To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences."," Use simple and short sentences. Use the information given in the input to write the starting sentence. Write the starting sentence in English language.
The answer to this question is:

To make pizza, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.",language.,34,0.0
38,"Q: Artemis is making tea for a party. She knows her mom drinks an 8-ounce cup of tea and uses one ounce of tea. She will use this same ratio for the party. The party has 12 people there and each of them wants a 6-ounce cup of tea. How many ounces of tea does she need?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences."," Write a starting sentence for the given QA pair. Q: Passage: The 2018 Winter Olympics, officially known as the XXIII Olympic Winter Games (Korean: 제 23 회 동계 올림픽; Japanese: 第23回冬季オリンピック), was a winter multi - sport event celebrated from 9 to 25 February 2018 in Pyeongchang County, South Korea. It was the second time that the Winter Olympics were held in South Korea, after the 1988 Winter Olympics in Seoul.

Question: Based on this passage, when is the next winter olympics being held?
A: The 2018 Winter Olympics were held from 9 to 25 February 2018 in Pyeongchang County, South Korea. The passage states that it was the second time that the Winter Olympics were held in South Korea, after the 1988 Winter Olympics in Seoul. However, the passage does not provide information about the next Winter Olympics being held. 

Q: Passage: The 2018 Winter Olympics, officially known as the XXIII Olympic Winter Games (Korean: 제 23 회 동계 올림픽; Japanese: 第23回冬季オリンピック), was a winter multi - sport event celebrated from 9 to 25 February 2018 in Pyeongchang County, South Korea. It was the second time that the Winter Olympics were held in South Korea, after the 1988 Winter Olympics in Seoul.

Question: Based on this passage, when is the next winter olympics being held?
A: The 2018 Winter Olympics were held from 9 to 25 February 2018 in Pyeongchang County, South Korea. The passage states that it was the second time that the Winter Olympics were held in South Korea, after the 1988 Winter Olympics in Seoul. However, the passage does not provide information about the next Winter Olympics being held. 

Q: Passage: The 2018 Winter Olympics, officially known as the XXIII Olympic Winter Games (Korean: 제 23 회 동계 올림픽; Japanese: 第23回冬季オリンピック), was a winter multi - sport event celebrated from 9 to 25 February 2018 in Pyeongchang County, South Korea. It was the second time that the Winter Olympics were held in South Korea, after the 1988 Winter Olympics in Seoul.

Question: Based on this passage, when is the next winter olympics being held?
A:
The 2018 Winter Olympics were held from 9 to 25 February 2018 in Pyeongchang County, South Korea. The passage states that it was the second time that the Winter Olympics were held in South Korea, after the 1988 Winter Olympics in Seoul. However, the passage does not provide information about the next Winter Olympics being held. 

Q: As of 2015, what is the population of the city of San Diego, California?
 A: As of 2015, the population of the city of San Diego is 1,307,402.
 Does the answer correctly answer the question

Options are:
 (a). yes;
 (b). no;
(a).",10,9,0.0
39,"Q: Anna goes trick-or-treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick-or-tricking in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences."," Use simple and short sentences. The starting sentence should be different from the given QA pair. The starting sentence must contain all the information from the given QA pair. The starting sentence must not contain any information that is not in the given QA pair.

Q: Anna goes trick - or - treating in a subdivision where she gets 14 pieces of candy per house. Her brother Billy goes trick - or - treating in a neighboring subdivision where he gets 11 pieces of candy per house. If the first subdivision has 60 houses and the second subdivision has 75 houses, how many more pieces of candy does Anna get?
A: Anna gets 14 pieces of candy per house and there are 60 houses in the first subdivision, so she gets 14 * 60 = 840 pieces of candy. Billy gets 11 pieces of candy per house and there are 75 houses in the second subdivision, so he gets 11 * 75 = 825 pieces of candy. Anna gets 840 - 825 = 15 more pieces of candy than Billy.
Explain how you used the definition to come up with the answer.",10,15,0.0
42,"Q: A family of 12 monkeys collected 10 piles of bananas. 6 piles had 9 hands, with each hand having 14 bananas, while the remaining piles had 12 hands, with each hand having 9 bananas. How many bananas would each monkey get if they divide the bananas equally amongst themselves?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences."," Use simple and short sentences. The starting sentence should be different from the given sentence. The starting sentence must contain the following information: the domain area (e.g., mathematics, science, history, etc.), the name of the specific concept (e.g., Pythagorean theorem), and a brief description of the concept (e.g., a fundamental principle in geometry). The starting sentence should be one or two sentences long. The starting sentence should not contain any stop words such as ""the"", ""a"", ""an"", ""on"", ""in"", ""of"", etc. The starting sentence should not contain any punctuation marks such as commas, periods, question marks, etc. The starting sentence should not be a question. The starting sentence should not be the same as the given sentence. The starting sentence should not contain any numbers or links. The starting sentence should not contain any proper nouns such as names of people, places, etc. The starting sentence should not contain any acronyms or abbreviations. The starting sentence should not contain any complex words or jargon. The starting sentence should not contain any words that are not in the given sentence. The starting sentence should not contain any words that are not in the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept description. The starting sentence should not contain any words that are not in the given sentence or the concept",10,99,0.0
49,"Q: On a school trip to the seashore, Alan and his friends collected shells. Alan collected four times as many shells as Ben did. Ben got a late start and only collected a third of what Laurie did. If Laurie collected 36 shells how many did Alan collect?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences."," Use simple and short sentences. Use the information in the given 'input' section to create the 'output'. The 'output' section should contain the variable 'starting_sentence' that contains the starting sentence for the given QA pair.
Q: Input: 1. Alan collected four times as many shells as Ben did.
2. Ben collected a third of what Laurie did.
3. Laurie collected 36 shells.
Output: Alan collected 48 shells.
Explain how you used the definition to come up with the answer.",10,48,0.0
72,"Q: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences."," Use the following format: ""Given the question and answer pair, we understand that the question is about ..."". Try to use the information in the given answer to write the starting sentence. The starting sentence should be no longer than 20 words. 

Question: Nancy is filling an aquarium for her fish. She fills it halfway and goes to answer the door. While she's gone, her cat knocks the aquarium over and spills half the water in it. Then Nancy comes back and triples the amount of water in the aquarium. If the aquarium is 4 feet long, 6 feet wide, and 3 feet high, how many cubic feet of water are in the aquarium?
Answer: 36
A: Given the question and answer pair, we understand that the question is about calculating the amount of water in an aquarium after a series of events involving filling, spilling, and tripling the water.",,54,0.0
98,"Q: Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences.", Use simple and short sentences. The starting sentence should be a single sentence. It should not be a question. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence. The starting sentence should not contain any information that is not present in the original sentence,10,45,0.0
134,"Q: A couple with two children, ages 6 and 10 years old, decided to go to an amusement park. The regular ticket costs $109, but children below 12 years old have a $5 discount. If they gave the cashier $500, how much change will they receive?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences.", The starting sentence should be one or two sentences long. The starting sentence should not be a question. The starting sentence should not be the same as the given question. The starting sentence should not contain any information that is not present in the given question. The starting sentence should not contain any information that contradicts the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any information that is not relevant to the given question. The starting sentence should not contain any,10,74,0.0
144,"Q: The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?

A: The goal of the starting sentence is to provide a clear, brief and global understanding of each QA pair. Do not write detailed and lengthy starting sentences."," Use present simple tense throughout the starting sentence. Write the starting sentence in one or two complete sentences. Starting sentence: The owner of a Turkish restaurant ordered ground beef from three different butchers.

Q: Context: The 2018 Winter Olympics, officially known as the XXIII Olympic Winter Games (Korean: 제 23회 동계 올림픽; Japanese: 第23回冬季オリンピック大会), was a winter multi-sport event that was celebrated in Pyeongchang County, South Korea, from 9 to 25 February 2018. The Games were organized by the Pyeongchang Organizing Committee for the 2018 Olympic and Paralympic Winter Games (POCOG) and the International Olympic Committee (IOC).

Question: where did the 2018 winter olympics take place?

A: The 2018 Winter Olympics took place in Pyeongchang County, South Korea.

Q: Context: The 2018 Winter Olympics, officially known as the XXIII Olympic Winter Games (Korean: 제 23회 동계 올림픽; Japanese: 第23回冬季オリンピック大会), was a winter multi-sport event that was celebrated in Pyeongchang County, South Korea, from 9 to 25 February 2018. The Games were organized by the Pyeongchang Organizing Committee for the 2018 Olympic and Paralympic Winter Games (POCOG) and the International Olympic Committee (IOC).

Question: where did the 2018 winter olympics take place?

A: The 2018 Winter Olympics took place in Pyeongchang County, South Korea.

Q: Context: The 2018 Winter Olympics, officially known as the XXIII Olympic Winter Games (Korean: 제 23회 동계 올림픽; Japanese: 第23回冬季オリンピック大会), was a winter multi-sport event that was celebrated in Pyeongchang County, South Korea, from 9 to 25 February 2018. The Games were organized by the Pyeongchang Organizing Committee for the 2018 Olympic and Paralympic Winter Games (POCOG) and the International Olympic Committee (IOC).

Question: where did the 2018 winter olympics take place?

A:
The 2018 Winter Olympics took place in Pyeongchang County, South Korea.
You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer.",10,8,0.0
